DATE,LAT,LON,SST
2016-04-19T02:50:09.000Z,6.02,99.98,-32767
2016-04-20T02:25:09.000Z,6.02,99.98,-32767
2016-04-21T02:40:09.000Z,6.02,99.98,32.98
2016-04-22T02:15:09.000Z,6.02,99.98,-32767
2016-04-23T03:00:08.000Z,6.02,99.98,32.56
2016-04-24T03:00:08.000Z,6.02,99.98,-32767
2016-04-25T02:45:09.000Z,6.02,99.98,-32767
2016-04-26T02:55:08.000Z,6.02,99.98,-32767
2016-04-27T02:35:08.000Z,6.02,99.98,-32767
2016-04-28T02:45:08.000Z,6.02,99.98,31.12
2016-04-29T02:20:08.000Z,6.02,99.98,-32767
2016-04-30T03:00:08.000Z,6.02,99.98,-32767
2016-05-01T02:10:08.000Z,6.02,99.98,-32767
2016-05-02T02:50:08.000Z,6.02,99.98,-32767
2016-05-03T03:00:08.000Z,6.02,99.98,-32767
2016-05-04T02:40:08.000Z,6.02,99.98,-32767
2016-05-05T02:50:09.000Z,6.02,99.98,-32767
2016-05-06T02:25:09.000Z,6.02,99.98,-32767
2016-05-07T02:40:09.000Z,6.02,99.98,-32767
2016-05-08T02:15:09.000Z,6.02,99.98,-32767
2016-05-09T03:00:08.000Z,6.02,99.98,-32767
2016-05-10T03:00:08.000Z,6.02,99.98,-32767
2016-05-11T02:45:09.000Z,6.02,99.98,32.9
2016-05-12T02:55:08.000Z,6.02,99.98,-32767
2016-05-13T02:35:08.000Z,6.02,99.98,-32767
2016-05-14T02:45:08.000Z,6.02,99.98,-32767
2016-05-15T02:20:08.000Z,6.02,99.98,-32767
2016-05-16T03:00:08.000Z,6.02,99.98,-32767
2016-05-17T02:10:08.000Z,6.02,99.98,-32767
2016-05-18T02:50:08.000Z,6.02,99.98,32.5
2016-05-19T03:00:08.000Z,6.02,99.98,31.91
2016-05-20T02:40:08.000Z,6.02,99.98,-32767
2016-05-21T02:50:09.000Z,6.02,99.98,-32767
2016-05-22T02:25:09.000Z,6.02,99.98,-32767
2016-05-23T02:40:09.000Z,6.02,99.98,-32767
2016-05-24T02:15:09.000Z,6.02,99.98,-32767
2016-05-25T02:55:08.000Z,6.02,99.98,-32767
2016-05-26T03:00:08.000Z,6.02,99.98,-32767
2016-05-27T02:45:09.000Z,6.02,99.98,-32767
2016-05-28T02:55:08.000Z,6.02,99.98,-32767
2016-05-29T02:30:08.000Z,6.02,99.98,-32767
2016-05-30T02:45:08.000Z,6.02,99.98,-32767
2016-05-31T02:20:08.000Z,6.02,99.98,-32767
2016-06-01T03:00:08.000Z,6.02,99.98,32.49
2016-06-02T02:10:08.000Z,6.02,99.98,-32767
2016-06-03T02:50:08.000Z,6.02,99.98,-32767
2016-06-04T03:00:08.000Z,6.02,99.98,-32767
2016-06-05T02:40:08.000Z,6.02,99.98,33.67
2016-06-06T02:50:09.000Z,6.02,99.98,32.83
2016-06-07T02:25:09.000Z,6.02,99.98,-32767
2016-06-08T02:40:09.000Z,6.02,99.98,-32767
2016-06-09T02:15:09.000Z,6.02,99.98,-32767
2016-06-10T02:55:08.000Z,6.02,99.98,32.18
2016-06-11T03:00:08.000Z,6.02,99.98,30.72
2016-06-12T02:45:09.000Z,6.02,99.98,-32767
2016-06-13T02:55:08.000Z,6.02,99.98,-32767
2016-06-14T02:30:08.000Z,6.02,99.98,-32767
2016-06-15T02:45:08.000Z,6.02,99.98,-32767
2016-06-16T02:20:08.000Z,6.02,99.98,-32767
2016-06-17T03:00:08.000Z,6.02,99.98,-32767
2016-06-18T02:10:08.000Z,6.02,99.98,-32767
2016-06-19T02:50:08.000Z,6.02,99.98,-32767
2016-06-20T03:00:08.000Z,6.02,99.98,-32767
2016-06-21T02:40:08.000Z,6.02,99.98,-32767
2016-06-22T02:50:09.000Z,6.02,99.98,-32767
2016-06-23T02:25:09.000Z,6.02,99.98,-32767
2016-06-24T02:40:09.000Z,6.02,99.98,-32767
2016-06-25T02:15:09.000Z,6.02,99.98,-32767
2016-06-26T02:55:08.000Z,6.02,99.98,-32767
2016-06-27T03:00:07.000Z,6.02,99.98,-32767
2016-06-28T02:45:09.000Z,6.02,99.98,-32767
2016-06-29T02:55:08.000Z,6.02,99.98,-32767
2016-06-30T02:30:08.000Z,6.02,99.98,-32767
2016-07-01T02:45:08.000Z,6.02,99.98,-32767
2016-07-02T02:20:08.000Z,6.02,99.98,-32767
2016-07-03T03:00:07.000Z,6.02,99.98,32.1
2016-07-04T02:05:08.000Z,6.02,99.98,31.88
2016-07-05T02:50:08.000Z,6.02,99.98,31.24
2016-07-06T03:00:08.000Z,6.02,99.98,-32767
2016-07-07T02:40:08.000Z,6.02,99.98,-32767
2016-07-08T02:50:08.000Z,6.02,99.98,-32767
2016-07-09T02:25:08.000Z,6.02,99.98,-32767
2016-07-10T02:40:09.000Z,6.02,99.98,-32767
2016-07-11T02:15:09.000Z,6.02,99.98,-32767
2016-07-12T02:55:08.000Z,6.02,99.98,-32767
2016-07-13T03:00:09.000Z,6.02,99.98,-32767
2016-07-14T02:45:09.000Z,6.02,99.98,-32767
2016-07-15T02:55:08.000Z,6.02,99.98,-32767
2016-07-16T02:30:08.000Z,6.02,99.98,-32767
2016-07-17T02:45:08.000Z,6.02,99.98,29.98
2016-07-18T02:20:08.000Z,6.02,99.98,-32767
2016-07-19T03:00:09.000Z,6.02,99.98,-32767
2016-07-20T02:05:08.000Z,6.02,99.98,-32767
2016-07-21T02:50:08.000Z,6.02,99.98,-32767
2016-07-22T03:00:08.000Z,6.02,99.98,-32767
2016-07-23T02:40:08.000Z,6.02,99.98,-32767
2016-07-24T02:50:08.000Z,6.02,99.98,30.36
2016-07-25T02:25:08.000Z,6.02,99.98,-32767
2016-07-26T02:40:09.000Z,6.02,99.98,-32767
2016-07-27T02:15:09.000Z,6.02,99.98,-32767
2016-07-28T02:55:08.000Z,6.02,99.98,-32767
2016-07-29T03:00:09.000Z,6.02,99.98,30.91
2016-07-30T02:45:08.000Z,6.02,99.98,-32767
2016-07-31T02:55:07.000Z,6.02,99.98,32.39
2016-08-01T02:30:07.000Z,6.02,99.98,-32767
2016-08-02T02:45:08.000Z,6.02,99.98,30.56
2016-08-03T02:20:08.000Z,6.02,99.98,-32767
2016-08-04T03:00:09.000Z,6.02,99.98,-32767
2016-08-05T02:05:08.000Z,6.02,99.98,-32767
2016-08-06T02:50:08.000Z,6.02,99.98,-32767
2016-08-07T03:00:08.000Z,6.02,99.98,-32767
2016-08-08T02:40:08.000Z,6.02,99.98,-32767
2016-08-09T02:50:08.000Z,6.02,99.98,-32767
2016-08-10T02:25:08.000Z,6.02,99.98,-32767
2016-08-11T02:40:09.000Z,6.02,99.98,-32767
2016-08-12T02:15:09.000Z,6.02,99.98,-32767
2016-08-13T02:55:08.000Z,6.02,99.98,-32767
2016-08-14T03:00:09.000Z,6.02,99.98,-32767
2016-08-15T02:45:08.000Z,6.02,99.98,-32767
2016-08-16T02:55:09.000Z,6.02,99.98,-32767
2016-08-17T02:30:09.000Z,6.02,99.98,-32767
2016-08-18T02:45:08.000Z,6.02,99.98,-32767
2016-08-19T02:20:08.000Z,6.02,99.98,-32767
2016-08-20T03:00:09.000Z,6.02,99.98,-32767
2016-08-21T03:00:08.000Z,6.02,99.98,-32767
2016-08-22T02:50:09.000Z,6.02,99.98,-32767
2016-08-23T03:00:08.000Z,6.02,99.98,-32767
2016-08-24T02:40:08.000Z,6.02,99.98,-32767
2016-08-25T02:50:08.000Z,6.02,99.98,-32767
2016-08-26T02:25:08.000Z,6.02,99.98,-32767
2016-08-27T02:40:08.000Z,6.02,99.98,-32767
2016-08-28T02:15:08.000Z,6.02,99.98,-32767
2016-08-29T02:55:08.000Z,6.02,99.98,-32767
2016-08-30T03:00:09.000Z,6.02,99.98,-32767
2016-08-31T02:45:08.000Z,6.02,99.98,-32767
2016-09-01T02:55:09.000Z,6.02,99.98,-32767
2016-09-02T02:30:09.000Z,6.02,99.98,-32767
2016-09-03T02:45:08.000Z,6.02,99.98,-32767
2016-09-04T02:20:09.000Z,6.02,99.98,-32767
2016-09-05T03:00:09.000Z,6.02,99.98,-32767
2016-09-06T03:00:08.000Z,6.02,99.98,-32767
2016-09-07T02:50:09.000Z,6.02,99.98,-32767
2016-09-08T03:00:08.000Z,6.02,99.98,-32767
2016-09-09T02:40:08.000Z,6.02,99.98,31.29
2016-09-10T02:50:08.000Z,6.02,99.98,-32767
2016-09-11T02:25:08.000Z,6.02,99.98,30.4
2016-09-12T02:40:08.000Z,6.02,99.98,-32767
2016-09-13T02:15:08.000Z,6.02,99.98,-32767
2016-09-14T02:55:08.000Z,6.02,99.98,-32767
2016-09-15T03:00:08.000Z,6.02,99.98,-32767
2016-09-16T02:45:08.000Z,6.02,99.98,32.11
2016-09-17T02:55:09.000Z,6.02,99.98,-32767
2016-09-18T02:30:09.000Z,6.02,99.98,-32767
2016-09-19T02:40:08.000Z,6.02,99.98,-32767
2016-09-20T02:20:09.000Z,6.02,99.98,-32767
2016-09-21T03:00:08.000Z,6.02,99.98,-32767
