DATE,LAT,LON,CHLOR
2016-02-15T02:50:00.000Z,6.02,99.98,-31510.48614
2016-02-16T02:09:59.000Z,6.02,99.98,-32767
2016-02-16T02:09:59.000Z,6.02,99.98,-31524.89869
2016-02-17T02:39:58.000Z,6.02,99.98,1.32
2016-02-17T02:39:58.000Z,6.02,99.98,-31539.31124
2016-02-18T02:09:59.000Z,6.02,99.98,-32767
2016-02-18T02:09:59.000Z,6.02,99.98,-31553.72379
2016-02-19T02:29:59.000Z,6.02,99.98,-32767
2016-02-19T02:29:59.000Z,6.02,99.98,-31568.13634
2016-02-20T02:59:59.000Z,6.02,99.98,-32767
2016-02-20T02:59:59.000Z,6.02,99.98,-31582.54889
2016-02-21T02:19:59.000Z,6.02,99.98,-32767
2016-02-21T02:19:59.000Z,6.02,99.98,-31596.96144
2016-02-22T02:54:59.000Z,6.02,99.98,1.08
2016-02-22T02:54:59.000Z,6.02,99.98,-31611.37399
2016-02-23T02:09:59.000Z,6.02,99.98,0.86
2016-02-23T02:09:59.000Z,6.02,99.98,-31625.78654
2016-02-24T02:44:59.000Z,6.02,99.98,-32767
2016-02-24T02:44:59.000Z,6.02,99.98,-31640.19909
2016-02-25T02:14:59.000Z,6.02,99.98,-32767
2016-02-25T02:14:59.000Z,6.02,99.98,-31654.61165
2016-02-26T02:34:59.000Z,6.02,99.98,-32767
2016-02-26T02:34:59.000Z,6.02,99.98,-31669.0242
2016-02-27T02:59:59.000Z,6.02,99.98,-32767
2016-02-27T02:59:59.000Z,6.02,99.98,-31683.43675
2016-02-28T02:25:00.000Z,6.02,99.98,-32767
2016-02-28T02:25:00.000Z,6.02,99.98,-31697.8493
2016-02-29T02:59:59.000Z,6.02,99.98,-32767
2016-02-29T02:59:59.000Z,6.02,99.98,-31712.26185
2016-03-01T02:34:59.000Z,6.02,99.98,1.16
2016-03-01T02:34:59.000Z,6.02,99.98,-31726.6744
2016-03-02T02:50:00.000Z,6.02,99.98,1.33
2016-03-02T02:50:00.000Z,6.02,99.98,-31741.08695
2016-03-03T02:25:00.000Z,6.02,99.98,-32767
2016-03-03T02:25:00.000Z,6.02,99.98,-31755.4995
2016-03-04T02:39:59.000Z,6.02,99.98,0.96
2016-03-04T02:39:59.000Z,6.02,99.98,-31769.91205
2016-03-05T02:09:59.000Z,6.02,99.98,-32767
2016-03-05T02:09:59.000Z,6.02,99.98,-31784.3246
2016-03-06T02:55:00.000Z,6.02,99.98,-32767
2016-03-06T02:55:00.000Z,6.02,99.98,-31798.73715
2016-03-07T02:59:59.000Z,6.02,99.98,-32767
2016-03-07T02:59:59.000Z,6.02,99.98,-31813.1497
2016-03-08T02:45:00.000Z,6.02,99.98,0.6
2016-03-08T02:45:00.000Z,6.02,99.98,-31827.56225
2016-03-09T02:54:59.000Z,6.02,99.98,0.91
2016-03-09T02:54:59.000Z,6.02,99.98,-31841.9748
2016-03-10T02:29:59.000Z,6.02,99.98,0.56
2016-03-10T02:29:59.000Z,6.02,99.98,-31856.38735
2016-03-11T02:44:59.000Z,6.02,99.98,0.75
2016-03-11T02:44:59.000Z,6.02,99.98,-31870.79991
2016-03-12T02:19:59.000Z,6.02,99.98,-32767
2016-03-12T02:19:59.000Z,6.02,99.98,-31885.21246
2016-03-13T02:59:59.000Z,6.02,99.98,-32767
2016-03-13T02:59:59.000Z,6.02,99.98,-31899.62501
2016-03-14T02:59:59.000Z,6.02,99.98,-32767
2016-03-14T02:59:59.000Z,6.02,99.98,-31914.03756
2016-03-15T02:49:59.000Z,6.02,99.98,-32767
2016-03-15T02:49:59.000Z,6.02,99.98,-31928.45011
2016-03-16T02:59:59.000Z,6.02,99.98,0.96
2016-03-16T02:59:59.000Z,6.02,99.98,-31942.86266
2016-03-17T02:39:59.000Z,6.02,99.98,0.88
2016-03-17T02:39:59.000Z,6.02,99.98,-31957.27521
2016-03-18T02:50:00.000Z,6.02,99.98,0.75
2016-03-18T02:50:00.000Z,6.02,99.98,-31971.68776
2016-03-19T02:25:00.000Z,6.02,99.98,-32767
2016-03-19T02:25:00.000Z,6.02,99.98,-31986.10031
2016-03-20T02:39:59.000Z,6.02,99.98,0.68
